instancia,run,tempo_s,custo
cenario1_dia,0,2.2889,87.2179
cenario1_dia,0,2.6554,87.2179
cenario1_dia,0,3.0286,87.2179
cenario1_dia,0,3.3953,87.2179
cenario1_dia,0,3.9917,87.2179
cenario1_dia,0,4.4896,87.2179
cenario1_dia,0,4.8858,87.2179
cenario1_dia,0,5.1462,87.2179
cenario1_dia,0,5.5376,87.2179
cenario1_dia,0,5.8908,87.2179
cenario1_dia,0,6.0769,87.2179
cenario1_dia,0,6.3631,87.2179
cenario1_dia,0,6.6061,87.2179
cenario1_dia,0,8.8485,87.2179
cenario1_dia,0,9.2845,87.2179
cenario1_dia,0,9.7213,87.2179
cenario1_dia,0,10.4988,87.2179
cenario1_dia,0,10.897,87.2179
cenario1_dia,0,11.3647,87.2179
cenario1_dia,0,11.7841,87.2179
cenario1_dia,0,12.3264,87.2179
cenario1_dia,0,12.891,87.2179
cenario1_dia,0,13.2607,87.2179
cenario1_dia,0,13.6125,87.2179
cenario1_dia,0,14.2094,87.2179
cenario1_dia,0,14.7825,87.2179
cenario1_dia,1,5.2403,90.1118
cenario1_dia,1,5.4132,90.1118
cenario1_dia,1,5.6657,90.1118
cenario1_dia,1,6.1397,90.1118
cenario1_dia,1,6.658,89.8741
cenario1_dia,1,6.9643,89.8741
cenario1_dia,1,7.1436,89.8741
cenario1_dia,1,7.322,89.8741
cenario1_dia,1,7.5611,89.8741
cenario1_dia,1,7.8953,89.8741
cenario1_dia,1,8.1965,89.8741
cenario1_dia,1,8.7064,89.8741
cenario1_dia,1,9.1296,89.8741
cenario1_dia,1,10.0521,89.8741
cenario1_dia,1,10.9253,89.8741
cenario1_dia,1,11.5124,89.8741
cenario1_dia,1,12.2714,89.8741
cenario1_dia,1,15.0021,89.8741
cenario1_dia,1,15.3734,89.8741
cenario1_dia,1,15.7315,89.8741
cenario1_dia,1,15.9599,89.8741
cenario1_dia,1,16.4162,89.8741
cenario1_dia,1,17.035,89.8741
cenario1_dia,1,17.6283,89.8741
cenario1_dia,1,18.4919,89.8741
cenario1_dia,1,20.0682,89.8741
cenario1_dia,1,21.1899,89.8741
cenario1_dia,1,21.5336,89.8741
cenario1_dia,1,21.9621,89.8741
cenario1_dia,1,22.2497,89.8741
cenario1_dia,1,22.682,89.8741
cenario1_dia,1,23.2256,89.8741
cenario1_dia,1,23.5658,89.8741
cenario1_dia,1,23.9491,89.8741
