instancia,rota,posicao,no
cenario1_dia,0,0,11
cenario1_dia,0,1,7
cenario1_dia,0,2,148
cenario1_dia,0,3,144
cenario1_dia,0,4,124
cenario1_dia,0,5,120
cenario1_dia,0,6,119
cenario1_dia,0,7,49
cenario1_dia,0,8,42
cenario1_dia,0,9,25
cenario1_dia,0,10,20
cenario1_dia,0,11,18
cenario1_dia,0,12,17
cenario1_dia,0,13,6
cenario1_dia,0,14,10
cenario1_dia,0,15,9
cenario1_dia,0,16,8
cenario1_dia,0,17,164
cenario1_dia,0,18,163
cenario1_dia,0,19,162
cenario1_dia,0,20,157
cenario1_dia,0,21,154
cenario1_dia,0,22,150
cenario1_dia,0,23,147
cenario1_dia,0,24,146
cenario1_dia,0,25,121
cenario1_dia,0,26,118
cenario1_dia,0,27,52
cenario1_dia,0,28,50
cenario1_dia,0,29,45
cenario1_dia,0,30,39
cenario1_dia,0,31,34
cenario1_dia,0,32,31
cenario1_dia,0,33,30
cenario1_dia,0,34,29
cenario1_dia,0,35,28
cenario1_dia,0,36,5
cenario1_dia,0,37,130
cenario1_dia,0,38,142
cenario1_dia,0,39,138
cenario1_dia,0,40,132
cenario1_dia,0,41,131
cenario1_dia,0,42,129
cenario1_dia,0,43,115
cenario1_dia,0,44,24
cenario1_dia,0,45,23
cenario1_dia,0,46,158
cenario1_dia,0,47,160
cenario1_dia,0,48,127
cenario1_dia,0,49,139
cenario1_dia,0,50,126
cenario1_dia,0,51,116
cenario1_dia,0,52,46
cenario1_dia,0,53,41
cenario1_dia,0,54,15
cenario1_dia,0,55,3
cenario1_dia,0,56,145
cenario1_dia,0,57,35
cenario1_dia,0,58,33
cenario1_dia,0,59,27
cenario1_dia,0,60,19
cenario1_dia,0,61,2
cenario1_dia,0,62,14
cenario1_dia,0,63,153
cenario1_dia,0,64,135
cenario1_dia,1,0,13
cenario1_dia,1,1,165
cenario1_dia,1,2,161
cenario1_dia,1,3,156
cenario1_dia,1,4,155
cenario1_dia,1,5,152
cenario1_dia,1,6,151
cenario1_dia,1,7,149
cenario1_dia,1,8,143
cenario1_dia,1,9,141
cenario1_dia,1,10,140
cenario1_dia,1,11,137
cenario1_dia,1,12,136
cenario1_dia,1,13,134
cenario1_dia,1,14,133
cenario1_dia,1,15,125
cenario1_dia,1,16,123
cenario1_dia,1,17,122
cenario1_dia,1,18,117
cenario1_dia,1,19,114
cenario1_dia,1,20,113
cenario1_dia,1,21,112
cenario1_dia,1,22,111
cenario1_dia,1,23,110
cenario1_dia,1,24,109
cenario1_dia,1,25,108
cenario1_dia,1,26,107
cenario1_dia,1,27,106
cenario1_dia,1,28,105
cenario1_dia,1,29,104
cenario1_dia,1,30,103
cenario1_dia,1,31,102
cenario1_dia,1,32,101
cenario1_dia,1,33,100
cenario1_dia,1,34,99
cenario1_dia,1,35,98
cenario1_dia,1,36,97
cenario1_dia,1,37,96
cenario1_dia,1,38,95
cenario1_dia,1,39,94
cenario1_dia,1,40,93
cenario1_dia,1,41,92
cenario1_dia,1,42,91
cenario1_dia,1,43,90
cenario1_dia,1,44,89
cenario1_dia,1,45,88
cenario1_dia,1,46,87
cenario1_dia,1,47,86
cenario1_dia,1,48,85
cenario1_dia,1,49,84
cenario1_dia,1,50,83
cenario1_dia,1,51,82
cenario1_dia,1,52,81
cenario1_dia,1,53,80
cenario1_dia,1,54,79
cenario1_dia,1,55,78
cenario1_dia,1,56,77
cenario1_dia,1,57,76
cenario1_dia,1,58,75
cenario1_dia,1,59,74
cenario1_dia,1,60,73
cenario1_dia,1,61,72
cenario1_dia,1,62,71
cenario1_dia,1,63,70
cenario1_dia,1,64,69
cenario1_dia,1,65,68
cenario1_dia,1,66,67
cenario1_dia,1,67,66
cenario1_dia,1,68,65
cenario1_dia,1,69,64
cenario1_dia,1,70,63
cenario1_dia,1,71,62
cenario1_dia,1,72,61
cenario1_dia,1,73,60
cenario1_dia,1,74,59
cenario1_dia,1,75,58
cenario1_dia,1,76,57
cenario1_dia,1,77,56
cenario1_dia,1,78,55
cenario1_dia,1,79,54
cenario1_dia,1,80,53
cenario1_dia,1,81,47
cenario1_dia,1,82,44
cenario1_dia,1,83,43
cenario1_dia,1,84,40
cenario1_dia,1,85,38
cenario1_dia,1,86,37
cenario1_dia,1,87,36
cenario1_dia,1,88,32
cenario1_dia,1,89,26
cenario1_dia,1,90,22
cenario1_dia,1,91,21
cenario1_dia,1,92,16
cenario1_dia,1,93,4
cenario1_dia,1,94,12
cenario1_dia,1,95,159
cenario1_dia,1,96,128
cenario1_dia,1,97,51
cenario1_dia,1,98,48
cenario1_dia,1,99,1
