instancia,run,tempo_s,custo
cenario2_semana,0,14.4736,180.8236
cenario2_semana,0,18.6954,178.9687
cenario2_semana,0,24.0685,178.8595
cenario2_semana,0,30.2218,178.8595
cenario2_semana,0,32.9426,178.8595
cenario2_semana,0,40.1288,178.8595
cenario2_semana,0,44.7183,178.8595
cenario2_semana,0,48.5413,178.8595
cenario2_semana,0,51.0423,178.8595
cenario2_semana,0,70.8133,177.2466
cenario2_semana,0,76.1738,177.2466
cenario2_semana,0,78.9079,177.2466
cenario2_semana,0,83.8771,177.2466
cenario2_semana,0,86.9948,177.2466
cenario2_semana,0,93.133,177.2466
cenario2_semana,0,99.4265,177.2466
cenario2_semana,1,20.0292,180.7436
cenario2_semana,1,27.9111,180.7436
cenario2_semana,1,34.3123,180.7436
cenario2_semana,1,45.2932,180.7436
cenario2_semana,1,52.1183,180.7436
cenario2_semana,1,60.4582,180.7436
cenario2_semana,1,65.9912,180.7436
cenario2_semana,1,91.17,176.6169
cenario2_semana,1,97.4249,176.6169
cenario2_semana,1,104.6393,176.6169
cenario2_semana,1,106.3885,176.6169
cenario2_semana,1,110.826,176.6169
cenario2_semana,1,114.0756,176.6169
cenario2_semana,1,120.8917,176.6169
cenario2_semana,2,21.0314,181.525
cenario2_semana,2,24.3277,181.525
cenario2_semana,2,27.2833,181.525
cenario2_semana,2,32.2018,181.525
cenario2_semana,2,33.8159,181.525
cenario2_semana,2,41.0672,181.525
cenario2_semana,2,44.8469,181.525
cenario2_semana,2,63.2828,178.9687
cenario2_semana,2,68.4766,178.9687
cenario2_semana,2,73.3525,175.8889
cenario2_semana,2,79.5292,175.8889
cenario2_semana,2,87.9187,175.8889
cenario2_semana,2,92.6133,175.8889
cenario2_semana,2,94.8043,175.8889
cenario2_semana,2,96.5544,175.8889
cenario2_semana,2,98.9002,175.8889
