instancia,rota,posicao,no
cenario2_semana,0,0,290
cenario2_semana,0,1,289
cenario2_semana,0,2,288
cenario2_semana,0,3,287
cenario2_semana,0,4,286
cenario2_semana,0,5,285
cenario2_semana,0,6,284
cenario2_semana,0,7,283
cenario2_semana,0,8,282
cenario2_semana,0,9,281
cenario2_semana,0,10,280
cenario2_semana,0,11,279
cenario2_semana,0,12,278
cenario2_semana,0,13,277
cenario2_semana,0,14,276
cenario2_semana,0,15,275
cenario2_semana,0,16,274
cenario2_semana,0,17,273
cenario2_semana,0,18,267
cenario2_semana,0,19,264
cenario2_semana,0,20,263
cenario2_semana,0,21,260
cenario2_semana,0,22,258
cenario2_semana,0,23,257
cenario2_semana,0,24,256
cenario2_semana,0,25,252
cenario2_semana,0,26,246
cenario2_semana,0,27,242
cenario2_semana,0,28,241
cenario2_semana,0,29,236
cenario2_semana,0,30,233
cenario2_semana,0,31,232
cenario2_semana,0,32,224
cenario2_semana,0,33,219
cenario2_semana,0,34,217
cenario2_semana,0,35,215
cenario2_semana,0,36,207
cenario2_semana,0,37,199
cenario2_semana,0,38,197
cenario2_semana,0,39,196
cenario2_semana,0,40,195
cenario2_semana,0,41,187
cenario2_semana,0,42,185
cenario2_semana,0,43,184
cenario2_semana,0,44,175
cenario2_semana,0,45,172
cenario2_semana,0,46,171
cenario2_semana,0,47,169
cenario2_semana,0,48,167
cenario2_semana,0,49,166
cenario2_semana,0,50,164
cenario2_semana,0,51,157
cenario2_semana,0,52,156
cenario2_semana,0,53,149
cenario2_semana,0,54,146
cenario2_semana,0,55,144
cenario2_semana,0,56,141
cenario2_semana,0,57,138
cenario2_semana,0,58,136
cenario2_semana,0,59,135
cenario2_semana,0,60,131
cenario2_semana,0,61,120
cenario2_semana,0,62,102
cenario2_semana,0,63,100
cenario2_semana,0,64,99
cenario2_semana,0,65,96
cenario2_semana,0,66,95
cenario2_semana,0,67,94
cenario2_semana,0,68,93
cenario2_semana,0,69,92
cenario2_semana,0,70,91
cenario2_semana,0,71,90
cenario2_semana,0,72,89
cenario2_semana,0,73,83
cenario2_semana,0,74,81
cenario2_semana,0,75,76
cenario2_semana,0,76,75
cenario2_semana,0,77,74
cenario2_semana,0,78,73
cenario2_semana,0,79,72
cenario2_semana,0,80,63
cenario2_semana,0,81,61
cenario2_semana,0,82,58
cenario2_semana,0,83,57
cenario2_semana,0,84,55
cenario2_semana,0,85,54
cenario2_semana,0,86,52
cenario2_semana,0,87,44
cenario2_semana,0,88,42
cenario2_semana,0,89,38
cenario2_semana,0,90,36
cenario2_semana,0,91,35
cenario2_semana,0,92,27
cenario2_semana,0,93,18
cenario2_semana,0,94,17
cenario2_semana,0,95,14
cenario2_semana,0,96,13
cenario2_semana,0,97,12
cenario2_semana,0,98,11
cenario2_semana,0,99,1
cenario2_semana,1,0,134
cenario2_semana,1,1,419
cenario2_semana,1,2,412
cenario2_semana,1,3,397
cenario2_semana,1,4,387
cenario2_semana,1,5,379
cenario2_semana,1,6,348
cenario2_semana,1,7,271
cenario2_semana,1,8,268
cenario2_semana,1,9,221
cenario2_semana,1,10,212
cenario2_semana,1,11,177
cenario2_semana,1,12,142
cenario2_semana,1,13,65
cenario2_semana,1,14,26
cenario2_semana,1,15,112
cenario2_semana,1,16,8
cenario2_semana,1,17,7
cenario2_semana,1,18,9
cenario2_semana,1,19,4
cenario2_semana,1,20,400
cenario2_semana,1,21,380
cenario2_semana,1,22,347
cenario2_semana,1,23,204
cenario2_semana,1,24,188
cenario2_semana,1,25,121
cenario2_semana,1,26,359
cenario2_semana,1,27,346
cenario2_semana,1,28,336
cenario2_semana,1,29,266
cenario2_semana,1,30,261
cenario2_semana,1,31,235
cenario2_semana,1,32,205
cenario2_semana,1,33,202
cenario2_semana,1,34,176
cenario2_semana,1,35,170
cenario2_semana,1,36,163
cenario2_semana,1,37,161
cenario2_semana,1,38,148
cenario2_semana,1,39,143
cenario2_semana,1,40,132
cenario2_semana,1,41,129
cenario2_semana,1,42,111
cenario2_semana,1,43,103
cenario2_semana,1,44,68
cenario2_semana,1,45,56
cenario2_semana,1,46,51
cenario2_semana,1,47,47
cenario2_semana,1,48,37
cenario2_semana,1,49,33
cenario2_semana,1,50,31
cenario2_semana,1,51,30
cenario2_semana,1,52,24
cenario2_semana,1,53,182
cenario2_semana,1,54,414
cenario2_semana,1,55,393
cenario2_semana,1,56,392
cenario2_semana,1,57,391
cenario2_semana,1,58,365
cenario2_semana,1,59,255
cenario2_semana,1,60,253
cenario2_semana,1,61,247
cenario2_semana,1,62,239
cenario2_semana,1,63,234
cenario2_semana,1,64,223
cenario2_semana,1,65,222
cenario2_semana,1,66,213
cenario2_semana,1,67,190
cenario2_semana,1,68,173
cenario2_semana,1,69,101
cenario2_semana,1,70,84
cenario2_semana,1,71,79
cenario2_semana,1,72,77
cenario2_semana,1,73,49
cenario2_semana,1,74,41
cenario2_semana,1,75,25
cenario2_semana,1,76,421
cenario2_semana,1,77,373
cenario2_semana,1,78,355
cenario2_semana,1,79,216
cenario2_semana,1,80,162
cenario2_semana,1,81,150
cenario2_semana,1,82,128
cenario2_semana,1,83,116
cenario2_semana,1,84,113
cenario2_semana,1,85,78
cenario2_semana,1,86,45
cenario2_semana,1,87,43
cenario2_semana,1,88,23
cenario2_semana,1,89,22
cenario2_semana,1,90,46
cenario2_semana,2,0,398
cenario2_semana,2,1,395
cenario2_semana,2,2,394
cenario2_semana,2,3,384
cenario2_semana,2,4,383
cenario2_semana,2,5,382
cenario2_semana,2,6,377
cenario2_semana,2,7,374
cenario2_semana,2,8,370
cenario2_semana,2,9,367
cenario2_semana,2,10,366
cenario2_semana,2,11,341
cenario2_semana,2,12,338
cenario2_semana,2,13,272
cenario2_semana,2,14,270
cenario2_semana,2,15,265
cenario2_semana,2,16,259
cenario2_semana,2,17,254
cenario2_semana,2,18,251
cenario2_semana,2,19,250
cenario2_semana,2,20,249
cenario2_semana,2,21,248
cenario2_semana,2,22,230
cenario2_semana,2,23,229
cenario2_semana,2,24,228
cenario2_semana,2,25,225
cenario2_semana,2,26,220
cenario2_semana,2,27,210
cenario2_semana,2,28,209
cenario2_semana,2,29,208
cenario2_semana,2,30,206
cenario2_semana,2,31,203
cenario2_semana,2,32,201
cenario2_semana,2,33,200
cenario2_semana,2,34,194
cenario2_semana,2,35,186
cenario2_semana,2,36,183
cenario2_semana,2,37,181
cenario2_semana,2,38,179
cenario2_semana,2,39,174
cenario2_semana,2,40,160
cenario2_semana,2,41,159
cenario2_semana,2,42,158
cenario2_semana,2,43,152
cenario2_semana,2,44,140
cenario2_semana,2,45,125
cenario2_semana,2,46,124
cenario2_semana,2,47,122
cenario2_semana,2,48,117
cenario2_semana,2,49,98
cenario2_semana,2,50,85
cenario2_semana,2,51,82
cenario2_semana,2,52,80
cenario2_semana,2,53,69
cenario2_semana,2,54,67
cenario2_semana,2,55,62
cenario2_semana,2,56,60
cenario2_semana,2,57,59
cenario2_semana,2,58,40
cenario2_semana,2,59,39
cenario2_semana,2,60,34
cenario2_semana,2,61,32
cenario2_semana,2,62,21
cenario2_semana,2,63,20
cenario2_semana,2,64,424
cenario2_semana,2,65,350
cenario2_semana,2,66,105
cenario2_semana,2,67,53
cenario2_semana,2,68,425
cenario2_semana,2,69,408
cenario2_semana,2,70,405
cenario2_semana,2,71,404
cenario2_semana,2,72,396
cenario2_semana,2,73,378
cenario2_semana,2,74,362
cenario2_semana,2,75,358
cenario2_semana,2,76,352
cenario2_semana,2,77,351
cenario2_semana,2,78,349
cenario2_semana,2,79,335
cenario2_semana,2,80,244
cenario2_semana,2,81,243
cenario2_semana,2,82,218
cenario2_semana,2,83,214
cenario2_semana,2,84,211
cenario2_semana,2,85,193
cenario2_semana,2,86,192
cenario2_semana,2,87,180
cenario2_semana,2,88,178
cenario2_semana,2,89,155
cenario2_semana,2,90,151
cenario2_semana,2,91,123
cenario2_semana,2,92,119
cenario2_semana,2,93,115
cenario2_semana,2,94,114
cenario2_semana,2,95,110
