instancia,run,tempo_s,custo
cenario3_mes,0,8.9285,345.3735
cenario3_mes,0,31.5513,244.9881
cenario3_mes,0,50.1079,244.9881
cenario3_mes,0,63.6019,244.9881
cenario3_mes,0,74.4014,244.9881
cenario3_mes,0,86.7143,244.9881
cenario3_mes,0,95.5759,244.9881
cenario3_mes,0,107.2251,244.9881
cenario3_mes,0,115.0436,244.9881
cenario3_mes,0,129.6467,244.9881
cenario3_mes,0,151.4086,244.9881
cenario3_mes,0,159.8964,244.9881
cenario3_mes,0,173.8353,244.9881
cenario3_mes,0,196.4537,241.8783
cenario3_mes,0,218.4307,241.8783
cenario3_mes,0,233.9865,241.8783
cenario3_mes,0,252.2697,241.8783
cenario3_mes,0,265.6298,241.8783
cenario3_mes,0,296.1522,241.8783
cenario3_mes,0,315.1243,241.8783
cenario3_mes,0,328.9285,241.8783
cenario3_mes,0,339.0599,241.8783
cenario3_mes,0,351.5605,241.8783
cenario3_mes,0,376.9834,241.8783
cenario3_mes,0,393.6826,241.8783
cenario3_mes,0,404.5214,241.8783
cenario3_mes,0,422.6787,241.8783
cenario3_mes,0,433.9695,241.8783
cenario3_mes,0,443.346,241.8783
cenario3_mes,0,459.9879,241.8783
cenario3_mes,0,482.145,241.8783
cenario3_mes,0,499.8212,241.8783
cenario3_mes,0,515.6113,241.8783
cenario3_mes,0,534.7627,241.8783
cenario3_mes,1,21.7193,348.8407
cenario3_mes,1,39.4288,246.0591
cenario3_mes,1,54.803,246.0591
cenario3_mes,1,71.3902,246.0591
cenario3_mes,1,81.85,246.0591
cenario3_mes,1,94.9245,246.0591
cenario3_mes,1,100.3056,246.0591
cenario3_mes,1,113.5866,246.0591
cenario3_mes,1,121.3185,245.6352
cenario3_mes,1,133.2304,245.6352
cenario3_mes,1,142.8543,245.6352
cenario3_mes,1,160.5998,245.6352
cenario3_mes,1,188.9628,245.6352
cenario3_mes,1,210.3266,245.6352
cenario3_mes,1,231.9849,245.6352
cenario3_mes,1,248.2255,245.6352
cenario3_mes,1,258.8812,245.6352
cenario3_mes,1,272.2587,245.6352
cenario3_mes,1,286.3488,245.6352
cenario3_mes,1,306.1582,245.6352
cenario3_mes,1,322.0948,245.6352
cenario3_mes,1,337.668,245.6352
cenario3_mes,1,361.4631,245.6352
cenario3_mes,1,369.311,245.6352
cenario3_mes,1,386.8802,245.6352
cenario3_mes,1,399.3347,245.6352
cenario3_mes,1,415.47,245.6352
cenario3_mes,1,438.5237,245.6352
cenario3_mes,1,444.9385,245.6352
cenario3_mes,2,20.7834,345.094
cenario3_mes,2,32.8796,247.7257
cenario3_mes,2,46.54,247.7257
cenario3_mes,2,52.3856,247.7257
cenario3_mes,2,62.3592,247.7257
cenario3_mes,2,75.8036,247.7257
cenario3_mes,2,91.3708,247.7257
cenario3_mes,2,104.0645,247.29
cenario3_mes,2,117.8926,247.29
cenario3_mes,2,129.1117,247.29
cenario3_mes,2,139.1788,247.29
cenario3_mes,2,150.437,247.29
cenario3_mes,2,166.3296,247.29
cenario3_mes,2,180.7987,247.29
cenario3_mes,2,189.2466,247.29
cenario3_mes,2,195.4985,247.29
cenario3_mes,2,215.671,247.29
cenario3_mes,2,245.1935,246.4083
cenario3_mes,2,259.9301,246.4083
cenario3_mes,2,266.6561,246.4083
cenario3_mes,2,286.2695,246.4083
cenario3_mes,2,304.1438,246.4083
cenario3_mes,2,313.9038,246.4083
cenario3_mes,2,320.145,246.4083
cenario3_mes,2,342.6242,246.4083
cenario3_mes,2,350.6957,246.4083
cenario3_mes,2,364.341,246.4083
cenario3_mes,2,378.3188,246.4083
cenario3_mes,2,395.2028,246.4083
cenario3_mes,2,402.3577,246.4083
cenario3_mes,2,437.1074,239.5403
cenario3_mes,2,448.2152,239.5403
cenario3_mes,2,458.6892,239.5403
cenario3_mes,2,477.0642,239.5403
cenario3_mes,2,483.8017,239.5403
cenario3_mes,2,504.9518,239.5403
cenario3_mes,2,518.4225,239.5403
cenario3_mes,2,526.4937,239.5403
cenario3_mes,2,532.885,239.5403
cenario3_mes,2,544.9002,239.5403
cenario3_mes,2,552.2593,239.5403
cenario3_mes,2,559.4819,239.5403
cenario3_mes,2,576.2531,239.5403
cenario3_mes,2,582.8989,239.5403
cenario3_mes,2,591.17,239.5403
cenario3_mes,2,601.3456,239.5403
cenario3_mes,2,627.7133,239.5403
cenario3_mes,2,633.8098,239.5403
cenario3_mes,2,647.9886,239.5403
cenario3_mes,2,660.9353,239.5403
cenario3_mes,2,675.6954,239.5403
