instancia,rota,posicao,no
cenario3_mes,0,0,122
cenario3_mes,0,1,581
cenario3_mes,0,2,567
cenario3_mes,0,3,540
cenario3_mes,0,4,522
cenario3_mes,0,5,516
cenario3_mes,0,6,506
cenario3_mes,0,7,504
cenario3_mes,0,8,500
cenario3_mes,0,9,499
cenario3_mes,0,10,497
cenario3_mes,0,11,496
cenario3_mes,0,12,395
cenario3_mes,0,13,435
cenario3_mes,0,14,433
cenario3_mes,0,15,426
cenario3_mes,0,16,418
cenario3_mes,0,17,417
cenario3_mes,0,18,416
cenario3_mes,0,19,415
cenario3_mes,0,20,403
cenario3_mes,0,21,399
cenario3_mes,0,22,398
cenario3_mes,0,23,394
cenario3_mes,0,24,384
cenario3_mes,0,25,608
cenario3_mes,0,26,402
cenario3_mes,0,27,158
cenario3_mes,0,28,152
cenario3_mes,0,29,140
cenario3_mes,0,30,125
cenario3_mes,0,31,124
cenario3_mes,0,32,117
cenario3_mes,0,33,98
cenario3_mes,0,34,82
cenario3_mes,0,35,80
cenario3_mes,0,36,69
cenario3_mes,0,37,67
cenario3_mes,0,38,62
cenario3_mes,0,39,60
cenario3_mes,0,40,59
cenario3_mes,0,41,40
cenario3_mes,0,42,39
cenario3_mes,0,43,34
cenario3_mes,0,44,32
cenario3_mes,0,45,21
cenario3_mes,0,46,20
cenario3_mes,0,47,16
cenario3_mes,0,48,15
cenario3_mes,0,49,383
cenario3_mes,0,50,382
cenario3_mes,0,51,377
cenario3_mes,0,52,374
cenario3_mes,0,53,370
cenario3_mes,0,54,367
cenario3_mes,0,55,366
cenario3_mes,0,56,341
cenario3_mes,0,57,338
cenario3_mes,0,58,272
cenario3_mes,0,59,270
cenario3_mes,0,60,265
cenario3_mes,0,61,259
cenario3_mes,0,62,254
cenario3_mes,0,63,251
cenario3_mes,0,64,250
cenario3_mes,0,65,249
cenario3_mes,0,66,248
cenario3_mes,0,67,230
cenario3_mes,0,68,229
cenario3_mes,0,69,228
cenario3_mes,0,70,225
cenario3_mes,0,71,220
cenario3_mes,0,72,210
cenario3_mes,0,73,209
cenario3_mes,0,74,208
cenario3_mes,0,75,206
cenario3_mes,0,76,203
cenario3_mes,0,77,201
cenario3_mes,0,78,200
cenario3_mes,0,79,194
cenario3_mes,0,80,186
cenario3_mes,0,81,183
cenario3_mes,0,82,181
cenario3_mes,0,83,179
cenario3_mes,0,84,174
cenario3_mes,0,85,160
cenario3_mes,0,86,159
cenario3_mes,0,87,85
cenario3_mes,0,88,439
cenario3_mes,1,0,298
cenario3_mes,1,1,297
cenario3_mes,1,2,296
cenario3_mes,1,3,295
cenario3_mes,1,4,294
cenario3_mes,1,5,293
cenario3_mes,1,6,292
cenario3_mes,1,7,291
cenario3_mes,1,8,290
cenario3_mes,1,9,289
cenario3_mes,1,10,288
cenario3_mes,1,11,287
cenario3_mes,1,12,286
cenario3_mes,1,13,285
cenario3_mes,1,14,284
cenario3_mes,1,15,283
cenario3_mes,1,16,282
cenario3_mes,1,17,281
cenario3_mes,1,18,280
cenario3_mes,1,19,279
cenario3_mes,1,20,278
cenario3_mes,1,21,277
cenario3_mes,1,22,276
cenario3_mes,1,23,275
cenario3_mes,1,24,274
cenario3_mes,1,25,273
cenario3_mes,1,26,267
cenario3_mes,1,27,264
cenario3_mes,1,28,263
cenario3_mes,1,29,260
cenario3_mes,1,30,258
cenario3_mes,1,31,257
cenario3_mes,1,32,256
cenario3_mes,1,33,252
cenario3_mes,1,34,246
cenario3_mes,1,35,242
cenario3_mes,1,36,241
cenario3_mes,1,37,236
cenario3_mes,1,38,233
cenario3_mes,1,39,232
cenario3_mes,1,40,224
cenario3_mes,1,41,219
cenario3_mes,1,42,217
cenario3_mes,1,43,215
cenario3_mes,1,44,207
cenario3_mes,1,45,199
cenario3_mes,1,46,197
cenario3_mes,1,47,196
cenario3_mes,1,48,195
cenario3_mes,1,49,187
cenario3_mes,1,50,185
cenario3_mes,1,51,184
cenario3_mes,1,52,175
cenario3_mes,1,53,172
cenario3_mes,1,54,171
cenario3_mes,1,55,169
cenario3_mes,1,56,167
cenario3_mes,1,57,166
cenario3_mes,1,58,164
cenario3_mes,1,59,157
cenario3_mes,1,60,156
cenario3_mes,1,61,149
cenario3_mes,1,62,146
cenario3_mes,1,63,144
cenario3_mes,1,64,141
cenario3_mes,1,65,138
cenario3_mes,1,66,136
cenario3_mes,1,67,135
cenario3_mes,1,68,131
cenario3_mes,1,69,120
cenario3_mes,1,70,102
cenario3_mes,1,71,100
cenario3_mes,1,72,99
cenario3_mes,1,73,96
cenario3_mes,1,74,95
cenario3_mes,1,75,94
cenario3_mes,1,76,93
cenario3_mes,1,77,92
cenario3_mes,1,78,91
cenario3_mes,1,79,90
cenario3_mes,1,80,89
cenario3_mes,1,81,83
cenario3_mes,1,82,81
cenario3_mes,1,83,76
cenario3_mes,1,84,75
cenario3_mes,1,85,74
cenario3_mes,1,86,73
cenario3_mes,1,87,72
cenario3_mes,1,88,63
cenario3_mes,1,89,61
cenario3_mes,1,90,58
cenario3_mes,1,91,57
cenario3_mes,1,92,55
cenario3_mes,1,93,54
cenario3_mes,1,94,52
cenario3_mes,1,95,524
cenario3_mes,1,96,42
cenario3_mes,1,97,38
cenario3_mes,1,98,36
cenario3_mes,1,99,2
cenario3_mes,2,0,492
cenario3_mes,2,1,490
cenario3_mes,2,2,489
cenario3_mes,2,3,488
cenario3_mes,2,4,487
cenario3_mes,2,5,486
cenario3_mes,2,6,485
cenario3_mes,2,7,484
cenario3_mes,2,8,483
cenario3_mes,2,9,482
cenario3_mes,2,10,481
cenario3_mes,2,11,480
cenario3_mes,2,12,479
cenario3_mes,2,13,478
cenario3_mes,2,14,477
cenario3_mes,2,15,476
cenario3_mes,2,16,475
cenario3_mes,2,17,474
cenario3_mes,2,18,473
cenario3_mes,2,19,472
cenario3_mes,2,20,3
cenario3_mes,2,21,470
cenario3_mes,2,22,469
cenario3_mes,2,23,468
cenario3_mes,2,24,467
cenario3_mes,2,25,466
cenario3_mes,2,26,438
cenario3_mes,2,27,436
cenario3_mes,2,28,434
cenario3_mes,2,29,432
cenario3_mes,2,30,431
cenario3_mes,2,31,423
cenario3_mes,2,32,422
cenario3_mes,2,33,420
cenario3_mes,2,34,413
cenario3_mes,2,35,411
cenario3_mes,2,36,410
cenario3_mes,2,37,409
cenario3_mes,2,38,407
cenario3_mes,2,39,406
cenario3_mes,2,40,401
cenario3_mes,2,41,390
cenario3_mes,2,42,389
cenario3_mes,2,43,388
cenario3_mes,2,44,386
cenario3_mes,2,45,385
cenario3_mes,2,46,381
cenario3_mes,2,47,376
cenario3_mes,2,48,375
cenario3_mes,2,49,372
cenario3_mes,2,50,371
cenario3_mes,2,51,369
cenario3_mes,2,52,363
cenario3_mes,2,53,361
cenario3_mes,2,54,360
cenario3_mes,2,55,357
cenario3_mes,2,56,356
cenario3_mes,2,57,354
cenario3_mes,2,58,353
cenario3_mes,2,59,345
cenario3_mes,2,60,343
cenario3_mes,2,61,342
cenario3_mes,2,62,337
cenario3_mes,2,63,334
cenario3_mes,2,64,333
cenario3_mes,2,65,332
cenario3_mes,2,66,331
cenario3_mes,2,67,330
cenario3_mes,2,68,329
cenario3_mes,2,69,328
cenario3_mes,2,70,327
cenario3_mes,2,71,326
cenario3_mes,2,72,325
cenario3_mes,2,73,324
cenario3_mes,2,74,323
cenario3_mes,2,75,322
cenario3_mes,2,76,321
cenario3_mes,2,77,320
cenario3_mes,2,78,319
cenario3_mes,2,79,318
cenario3_mes,2,80,317
cenario3_mes,2,81,316
cenario3_mes,2,82,315
cenario3_mes,2,83,314
cenario3_mes,2,84,313
cenario3_mes,2,85,312
cenario3_mes,2,86,311
cenario3_mes,2,87,310
cenario3_mes,2,88,309
cenario3_mes,2,89,308
cenario3_mes,2,90,307
cenario3_mes,2,91,306
cenario3_mes,2,92,305
cenario3_mes,2,93,304
cenario3_mes,2,94,303
cenario3_mes,2,95,302
cenario3_mes,2,96,301
cenario3_mes,2,97,300
cenario3_mes,2,98,18
cenario3_mes,2,99,17
cenario3_mes,3,0,635
cenario3_mes,3,1,634
cenario3_mes,3,2,633
cenario3_mes,3,3,632
cenario3_mes,3,4,631
cenario3_mes,3,5,630
cenario3_mes,3,6,629
cenario3_mes,3,7,628
cenario3_mes,3,8,627
cenario3_mes,3,9,626
cenario3_mes,3,10,623
cenario3_mes,3,11,620
cenario3_mes,3,12,619
cenario3_mes,3,13,618
cenario3_mes,3,14,617
cenario3_mes,3,15,616
cenario3_mes,3,16,615
cenario3_mes,3,17,613
cenario3_mes,3,18,612
cenario3_mes,3,19,611
cenario3_mes,3,20,610
cenario3_mes,3,21,609
cenario3_mes,3,22,606
cenario3_mes,3,23,605
cenario3_mes,3,24,604
cenario3_mes,3,25,603
cenario3_mes,3,26,602
cenario3_mes,3,27,601
cenario3_mes,3,28,600
cenario3_mes,3,29,599
cenario3_mes,3,30,598
cenario3_mes,3,31,597
cenario3_mes,3,32,596
cenario3_mes,3,33,595
cenario3_mes,3,34,594
cenario3_mes,3,35,593
cenario3_mes,3,36,591
cenario3_mes,3,37,590
cenario3_mes,3,38,589
cenario3_mes,3,39,588
cenario3_mes,3,40,587
cenario3_mes,3,41,586
cenario3_mes,3,42,585
cenario3_mes,3,43,584
cenario3_mes,3,44,580
cenario3_mes,3,45,579
cenario3_mes,3,46,578
cenario3_mes,3,47,577
cenario3_mes,3,48,576
cenario3_mes,3,49,575
cenario3_mes,3,50,574
cenario3_mes,3,51,573
cenario3_mes,3,52,572
cenario3_mes,3,53,571
cenario3_mes,3,54,568
cenario3_mes,3,55,566
cenario3_mes,3,56,565
cenario3_mes,3,57,564
cenario3_mes,3,58,563
cenario3_mes,3,59,562
cenario3_mes,3,60,561
cenario3_mes,3,61,560
cenario3_mes,3,62,559
cenario3_mes,3,63,558
cenario3_mes,3,64,557
cenario3_mes,3,65,556
cenario3_mes,3,66,555
cenario3_mes,3,67,554
cenario3_mes,3,68,553
cenario3_mes,3,69,552
cenario3_mes,3,70,551
cenario3_mes,3,71,550
cenario3_mes,3,72,549
cenario3_mes,3,73,548
cenario3_mes,3,74,547
cenario3_mes,3,75,546
cenario3_mes,3,76,545
