instancia,run,tempo_s,custo
080clientes,0,3.0659,648.1129
080clientes,0,37.365,241.8152
080clientes,0,44.1092,239.6028
080clientes,0,46.6489,239.6028
080clientes,0,51.2518,239.6028
080clientes,0,57.649,239.6028
080clientes,0,60.7037,239.6028
080clientes,0,69.0966,239.6028
080clientes,0,74.3031,239.6028
080clientes,0,93.7703,239.6028
080clientes,0,105.1983,239.5205
080clientes,0,111.0042,239.5205
080clientes,0,116.9181,239.5205
080clientes,0,124.4258,239.5205
080clientes,0,126.1765,239.5205
080clientes,0,139.9956,239.5205
080clientes,0,152.2207,239.5205
080clientes,0,163.3387,235.606
080clientes,0,170.4062,235.606
080clientes,0,174.9554,235.606
080clientes,0,181.841,235.606
080clientes,0,190.3138,235.606
080clientes,0,193.3744,235.606
080clientes,0,198.7159,235.606
080clientes,0,217.3617,235.606
080clientes,0,225.2558,235.606
080clientes,0,228.515,235.606
080clientes,0,233.4747,235.606
080clientes,0,262.7746,235.606
080clientes,0,266.1891,235.606
080clientes,0,272.7696,235.606
080clientes,0,276.6505,235.606
080clientes,0,279.9064,235.606
080clientes,0,286.6196,235.606
080clientes,0,290.347,235.606
080clientes,0,292.2962,235.606
080clientes,0,296.336,235.606
080clientes,0,301.6635,235.606
080clientes,0,307.4754,235.606
080clientes,0,311.5459,235.606
080clientes,0,315.8712,235.606
080clientes,0,319.1689,235.606
080clientes,0,324.4063,235.606
080clientes,0,330.4351,235.606
080clientes,0,335.3364,235.606
080clientes,0,338.2568,235.606
080clientes,0,341.3682,235.606
080clientes,0,346.9945,235.606
080clientes,0,348.4828,235.606
080clientes,0,349.8255,235.606
080clientes,0,353.0178,235.606
080clientes,0,354.3444,235.606
080clientes,0,361.0116,235.606
080clientes,0,365.0783,235.606
080clientes,0,368.4254,235.606
080clientes,0,370.6409,235.606
080clientes,0,372.0778,235.606
080clientes,0,374.3277,235.606
080clientes,0,377.1339,235.606
080clientes,0,380.8281,235.606
080clientes,0,387.2853,235.606
080clientes,0,390.565,235.606
080clientes,0,393.4228,235.606
080clientes,0,397.5041,235.606
080clientes,0,400.7464,235.606
080clientes,0,405.2446,235.606
080clientes,0,408.7555,235.606
080clientes,0,412.3229,235.606
080clientes,0,417.6642,235.606
080clientes,0,420.8929,235.4276
080clientes,0,426.8133,235.4276
080clientes,0,428.848,235.4276
080clientes,0,430.5322,235.4276
080clientes,0,436.8211,235.4276
080clientes,0,440.0703,235.4276
080clientes,0,447.1218,235.4276
080clientes,0,453.5591,232.894
080clientes,0,456.5878,232.894
080clientes,0,458.495,232.894
080clientes,0,462.548,232.894
080clientes,0,465.3755,232.894
080clientes,0,469.155,232.894
080clientes,0,472.3233,232.894
080clientes,0,477.4825,232.894
080clientes,0,480.8069,232.894
080clientes,0,484.6646,232.894
080clientes,0,487.5291,232.894
080clientes,1,3.472,660.0448
080clientes,1,30.328,250.6436
080clientes,1,38.8798,248.3511
080clientes,1,42.6938,248.323
080clientes,1,45.6166,248.323
080clientes,1,48.4264,248.323
080clientes,1,50.4929,248.323
080clientes,1,62.5865,248.3203
080clientes,1,67.4746,248.3203
080clientes,1,75.0818,248.3203
080clientes,1,85.6454,248.3203
080clientes,1,96.2733,246.2921
080clientes,1,101.0903,246.2921
080clientes,1,109.4859,243.1237
080clientes,1,114.1823,243.1237
080clientes,1,116.4301,243.1237
080clientes,1,121.1262,242.3162
080clientes,1,125.2192,242.3162
080clientes,1,132.5786,242.3162
080clientes,1,136.8078,242.3162
080clientes,1,142.9495,242.3162
080clientes,1,147.0047,242.3162
080clientes,1,156.918,242.3162
080clientes,1,170.2152,242.3162
080clientes,1,178.9801,242.3162
080clientes,1,185.8037,242.3162
080clientes,1,190.7369,242.3162
080clientes,1,238.1693,242.3162
080clientes,1,240.9025,242.3162
080clientes,1,249.2305,242.3162
080clientes,1,254.1416,242.3162
080clientes,1,259.5986,242.3162
080clientes,1,260.9966,242.3162
080clientes,1,262.9473,242.3162
080clientes,1,266.9605,242.3162
080clientes,1,276.5752,242.3162
080clientes,1,283.8287,239.9358
080clientes,1,294.7826,239.9358
080clientes,1,296.6074,239.9358
080clientes,1,300.1903,239.9358
080clientes,1,305.0129,239.9358
080clientes,1,307.9708,239.9358
080clientes,1,313.5105,239.9358
080clientes,1,316.4309,239.9358
080clientes,1,324.2536,239.9358
080clientes,1,333.0161,239.9358
080clientes,1,340.012,239.9358
080clientes,2,12.6685,572.5812
080clientes,2,31.5046,247.7415
080clientes,2,34.618,247.7415
080clientes,2,44.2481,244.5374
080clientes,2,62.3274,242.5335
080clientes,2,68.4819,238.8422
080clientes,2,71.185,238.8422
080clientes,2,73.0482,238.8422
080clientes,2,75.8794,238.8422
080clientes,2,82.7435,238.8422
080clientes,2,91.942,238.8422
080clientes,2,94.5221,238.8422
080clientes,2,101.678,238.8422
080clientes,2,108.5085,238.8422
080clientes,2,111.114,238.8422
080clientes,2,127.9252,238.8422
080clientes,2,161.1921,238.8422
080clientes,2,164.8269,238.8422
080clientes,2,166.9531,238.8422
080clientes,2,174.3442,238.8422
080clientes,2,183.7472,238.8422
080clientes,2,185.7461,238.8422
080clientes,2,189.3391,238.8422
080clientes,2,198.8428,238.8422
