instancia,rota,posicao,no
080clientes,0,0,190
080clientes,0,1,323
080clientes,0,2,197
080clientes,0,3,188
080clientes,0,4,298
080clientes,0,5,168
080clientes,0,6,291
080clientes,0,7,229
080clientes,0,8,4
080clientes,0,9,12
080clientes,0,10,91
080clientes,0,11,90
080clientes,0,12,89
080clientes,0,13,88
080clientes,0,14,87
080clientes,0,15,86
080clientes,0,16,85
080clientes,0,17,84
080clientes,0,18,83
080clientes,0,19,82
080clientes,0,20,81
080clientes,0,21,80
080clientes,0,22,79
080clientes,0,23,78
080clientes,0,24,77
080clientes,0,25,76
080clientes,0,26,75
080clientes,0,27,74
080clientes,0,28,73
080clientes,0,29,72
080clientes,0,30,71
080clientes,0,31,70
080clientes,0,32,69
080clientes,0,33,68
080clientes,0,34,67
080clientes,0,35,66
080clientes,0,36,65
080clientes,0,37,64
080clientes,0,38,63
080clientes,0,39,62
080clientes,0,40,61
080clientes,0,41,60
080clientes,0,42,59
080clientes,0,43,58
080clientes,0,44,57
080clientes,0,45,56
080clientes,0,46,55
080clientes,0,47,54
080clientes,0,48,53
080clientes,0,49,47
080clientes,0,50,44
080clientes,0,51,43
080clientes,0,52,40
080clientes,0,53,38
080clientes,0,54,37
080clientes,0,55,36
080clientes,0,56,32
080clientes,0,57,22
080clientes,0,58,21
080clientes,0,59,16
080clientes,0,60,26
080clientes,0,61,159
080clientes,0,62,128
080clientes,0,63,51
080clientes,0,64,48
080clientes,0,65,1
080clientes,0,66,284
080clientes,0,67,264
080clientes,0,68,248
080clientes,0,69,177
080clientes,0,70,158
080clientes,0,71,142
080clientes,0,72,138
080clientes,0,73,132
080clientes,0,74,131
080clientes,0,75,129
080clientes,0,76,115
080clientes,0,77,24
080clientes,0,78,23
080clientes,0,79,296
080clientes,0,80,258
080clientes,0,81,256
080clientes,0,82,213
080clientes,0,83,225
080clientes,0,84,255
080clientes,0,85,263
080clientes,0,86,266
080clientes,0,87,300
080clientes,0,88,274
080clientes,0,89,235
080clientes,0,90,243
080clientes,0,91,311
080clientes,0,92,244
