instancia,rota,posicao,no
smoke-300,0,0,296
smoke-300,0,1,295
smoke-300,0,2,294
smoke-300,0,3,293
smoke-300,0,4,292
smoke-300,0,5,291
smoke-300,0,6,290
smoke-300,0,7,289
smoke-300,0,8,288
smoke-300,0,9,287
smoke-300,0,10,286
smoke-300,0,11,285
smoke-300,0,12,284
smoke-300,0,13,283
smoke-300,0,14,282
smoke-300,0,15,281
smoke-300,0,16,280
smoke-300,0,17,279
smoke-300,0,18,278
smoke-300,0,19,277
smoke-300,0,20,276
smoke-300,0,21,275
smoke-300,0,22,274
smoke-300,0,23,273
smoke-300,0,24,267
smoke-300,0,25,264
smoke-300,0,26,263
smoke-300,0,27,260
smoke-300,0,28,258
smoke-300,0,29,257
smoke-300,0,30,256
smoke-300,0,31,252
smoke-300,0,32,246
smoke-300,0,33,242
smoke-300,0,34,241
smoke-300,0,35,236
smoke-300,0,36,233
smoke-300,0,37,232
smoke-300,0,38,224
smoke-300,0,39,219
smoke-300,0,40,217
smoke-300,0,41,215
smoke-300,0,42,207
smoke-300,0,43,199
smoke-300,0,44,197
smoke-300,0,45,196
smoke-300,0,46,195
smoke-300,0,47,187
smoke-300,0,48,185
smoke-300,0,49,184
smoke-300,0,50,175
smoke-300,0,51,172
smoke-300,0,52,171
smoke-300,0,53,169
smoke-300,0,54,167
smoke-300,0,55,166
smoke-300,0,56,164
smoke-300,0,57,157
smoke-300,0,58,156
smoke-300,0,59,149
smoke-300,0,60,146
smoke-300,0,61,144
smoke-300,0,62,141
smoke-300,0,63,138
smoke-300,0,64,136
smoke-300,0,65,135
smoke-300,0,66,131
smoke-300,0,67,120
smoke-300,0,68,102
smoke-300,0,69,100
smoke-300,0,70,99
smoke-300,0,71,96
smoke-300,0,72,95
smoke-300,0,73,94
smoke-300,0,74,93
smoke-300,0,75,92
smoke-300,0,76,91
smoke-300,0,77,90
smoke-300,0,78,89
smoke-300,0,79,83
smoke-300,0,80,81
smoke-300,0,81,76
smoke-300,0,82,75
smoke-300,0,83,74
smoke-300,0,84,73
smoke-300,0,85,72
smoke-300,0,86,63
smoke-300,0,87,61
smoke-300,0,88,58
smoke-300,0,89,57
smoke-300,0,90,55
smoke-300,0,91,54
smoke-300,0,92,52
smoke-300,0,93,44
smoke-300,0,94,42
smoke-300,0,95,38
smoke-300,0,96,36
smoke-300,0,97,35
smoke-300,0,98,27
smoke-300,0,99,1
smoke-300,1,0,112
smoke-300,1,1,65
smoke-300,1,2,271
smoke-300,1,3,218
smoke-300,1,4,214
smoke-300,1,5,211
smoke-300,1,6,193
smoke-300,1,7,192
smoke-300,1,8,180
smoke-300,1,9,178
smoke-300,1,10,155
smoke-300,1,11,151
smoke-300,1,12,123
smoke-300,1,13,119
smoke-300,1,14,115
smoke-300,1,15,114
smoke-300,1,16,110
smoke-300,1,17,109
smoke-300,1,18,108
smoke-300,1,19,107
smoke-300,1,20,106
smoke-300,1,21,105
smoke-300,1,22,104
smoke-300,1,23,97
smoke-300,1,24,88
smoke-300,1,25,87
smoke-300,1,26,86
smoke-300,1,27,53
smoke-300,1,28,50
smoke-300,1,29,244
smoke-300,1,30,243
smoke-300,1,31,255
smoke-300,1,32,253
smoke-300,1,33,247
smoke-300,1,34,239
smoke-300,1,35,234
smoke-300,1,36,223
smoke-300,1,37,222
smoke-300,1,38,213
smoke-300,1,39,190
smoke-300,1,40,182
smoke-300,1,41,173
smoke-300,1,42,101
smoke-300,1,43,84
smoke-300,1,44,79
smoke-300,1,45,77
smoke-300,1,46,49
smoke-300,1,47,41
smoke-300,1,48,25
smoke-300,1,49,266
smoke-300,1,50,261
smoke-300,1,51,235
smoke-300,1,52,205
smoke-300,1,53,202
smoke-300,1,54,176
smoke-300,1,55,170
smoke-300,1,56,163
smoke-300,1,57,161
smoke-300,1,58,148
smoke-300,1,59,143
smoke-300,1,60,132
smoke-300,1,61,129
smoke-300,1,62,121
smoke-300,1,63,111
smoke-300,1,64,103
smoke-300,1,65,68
smoke-300,1,66,56
smoke-300,1,67,51
smoke-300,1,68,47
smoke-300,1,69,37
smoke-300,1,70,33
smoke-300,1,71,31
smoke-300,1,72,30
smoke-300,1,73,24
smoke-300,1,74,204
smoke-300,1,75,188
smoke-300,1,76,18
smoke-300,1,77,17
smoke-300,1,78,14
smoke-300,1,79,13
smoke-300,1,80,9
smoke-300,1,81,8
smoke-300,1,82,6
smoke-300,1,83,300
smoke-300,1,84,299
smoke-300,1,85,298
smoke-300,1,86,297
smoke-300,1,87,2
smoke-300,1,88,216
smoke-300,1,89,162
smoke-300,1,90,150
smoke-300,1,91,128
smoke-300,1,92,116
smoke-300,1,93,113
smoke-300,1,94,78
smoke-300,1,95,46
smoke-300,1,96,45
smoke-300,1,97,43
smoke-300,1,98,23
smoke-300,1,99,22
smoke-300,2,0,19
smoke-300,2,1,269
smoke-300,2,2,262
smoke-300,2,3,245
smoke-300,2,4,240
smoke-300,2,5,238
smoke-300,2,6,237
smoke-300,2,7,231
smoke-300,2,8,227
smoke-300,2,9,226
smoke-300,2,10,198
smoke-300,2,11,191
smoke-300,2,12,189
smoke-300,2,13,168
smoke-300,2,14,165
smoke-300,2,15,154
smoke-300,2,16,153
smoke-300,2,17,147
smoke-300,2,18,145
smoke-300,2,19,139
smoke-300,2,20,137
smoke-300,2,21,133
smoke-300,2,22,130
smoke-300,2,23,127
smoke-300,2,24,126
smoke-300,2,25,118
smoke-300,2,26,71
smoke-300,2,27,70
smoke-300,2,28,66
smoke-300,2,29,64
smoke-300,2,30,48
smoke-300,2,31,29
smoke-300,2,32,28
smoke-300,2,33,16
smoke-300,2,34,15
smoke-300,2,35,272
smoke-300,2,36,270
smoke-300,2,37,265
