Concessionária ,Bairro,cep
Deposito,Betim,32669-900
Con1,Carmo,30330-000
Con2,Sao Francisco,31255-170
Con3,Pilar,30390-090
Con4,Jaqueline,31748-038
Con5,Silveira,31140-403
Con6,Sao Francisco,31255-170
Con7,SAO FRANCISCO,31255-170
Con8,Sao Francisco,31255-230
Con9,Santa Rosa,31255-610
Con10,Buritis,30575-110
Con11,Sion,30315-570
Con12,Mangabeiras,30210-090
Con13,Liberdade,31270-180
Con14,Sao Bernardo,31741-388
Con15,Buritis,30575-847
Con16,Cruzeiro,30310-120
Con17,Prado,30411-191
Con18,Buritis,30575-170
Con19,Diamante Barreiro,30660-133
Con20,LOURDES,30170-135
Con21,Santa Ines,31080-300
Con22,Funcionarios,30150-331
Con23,Funcionarios,30140-100
Con24,Prado,30411-230
Con25,Buritis,30575-815
Con26,Silveira,31140-520
Con27,Buritis,30492-025
Con28,Sagrada Familia,31035-410
Con29,Teixeira Dias Barreiro,30644-270
Con30,Pindorama,30865-040
Con31,Santo Antonio,30350-260
Con32,Brasil Industrial Barreiro,30626-090
Con33,Dom Bosco,30850-650
Con34,Buritis,30575-839
Con35,Joao Pinheiro,30530-310
Con36,Alto Barroca,30431-038
Con37,Buritis,30575-220
Con38,Jardim Leblon,31540-670
Con39,CASTELO,31330-230
Con40,Sao Luiz,31270-740
Con41,Grajau,30431-180
Con42,Caicaras,30770-170
Con43,Itaipu (Barreiro),30662-500
Con44,Tirol Barreiro,30662-460
Con45,Santa Branca,31565-230
Con46,Funcionarios,30150-311
Con47,Buritis,30575-290
Con48,Sao Lucas,30240-500
Con49,Cardoso Barreiro,30626-470
Con50,Colegio Batista,31110-010
Con51,Novo Gloria,30870-420
Con52,Madre Gertrudes,30518-150
Con53,Funcionarios,30150-321
Con54,Palmeiras,30575-590
Con55,Buritis,30492-020
Con56,ARAGUAIA,30620-390
Con57,Santa Rosa,31255-750
Con58,NOVA CACHOEIRINHA,31250-380
Con59,Copacabana,31540-530
Con60,Barro Preto,30190-110
Con61,Savassi,30140-140
Con62,Estoril,30494-230
Con63,Sao Luiz,31270-760
Con64,Liberdade,31270-250
Con65,Serra Verde Venda Nova,31630-900
Con66,Centro,30170-110
Con67,Carlos Prates,30710-020
Con68,Havai,30555-140
Con69,Colegio Batista,31110-150
Con70,Serra Verde Venda Nova,31630-900
Con71,Sao Pedro,30330-080
Con72,Santo Andre,31230-180
Con73,Santa Branca,31565-460
Con74,Cinquentenario,30570-000
Con75,Ipe,31930-010
Con76,Estoril,30494-080
Con77,Pilar,30390-000
Con78,Jardim America,30421-340
Con79,Lourdes,30140-098
Con80,Santa Rosa,31255-700
Con81,Floresta,30150-221
Con82,Carlos Prates,30710-010
Con83,Lagoinha,31210-120
Con84,Carlos Prates,30710-140
Con85,Sao Pedro,30330-050
Con86,Guarani,31840-220
Con87,Floresta,30150-221
Con88,Alto dos Pinheiros,30530-560
Con89,Santa Monica,31520-395
Con90,Coracao Eucaristico,30535-610
Con91,Tirol Barreiro,30662-060
Con92,Centro,30190-050
Con93,Funcionarios,30110-028
Con94,Centro,30130-002
Con95,Prado,30410-450
Con96,Cidade Nova,31170-193
Con97,Prado,30411-115
Con98,Distrito Industrial do Jatoba Barre,30670-845
Con99,Gameleira,30510-000
Con100,Caicara-Adelaide,30770-420
Con101,Serra,30220-000
Con102,Lourdes,30140-082
Con103,ARAGUAIA,30624-000
Con104,Santo Agostinho,30190-120
Con105,Ouro Preto,31310-240
Con106,Centro,30180-100
Con107,Prado,30110-063
Con108,Buritis,30575-180
Con109,Serra,30220-000
Con110,Centro,30190-051
Con111,Jonas Veiga,30285-422
Con112,Indaia,31270-065
Con113,Nova Cachoeirinha,31230-240
Con114,Pilar,30390-100
Con115,Estoril,30494-170
Con116,Maria Virginia,31155-680
Con117,CDI Jatoba Barreiro,30664-002
Con118,Funcionarios,30130-151
Con119,Sao Bento,30350-563
Con120,Jardim America,30455-150
Con121,Dom Bosco,30850-453
Con122,Padre Eustaquio,30730-430
Con123,Itapoa,31710-350
Con124,Nossa Senhora da Conceicao,30240-110
Con125,Santa Branca,31565-370
Con126,Planalto,31720-300
Con127,Ouro Preto,31340-090
Con128,Nova Granada,30431-270
Con129,Havai,30570-270
Con130,Gloria,30870-180
Con131,Pilar,30390-000
Con132,Jardim Vitoria,31975-334
Con133,Cachoeirinha,31150-200
Con134,California,30855-450
Con135,Santa Efigenia,30150-320
Con136,Sao Marcos,31920-610
Con137,Joao Pinheiro,30530-240
Con138,Estrela do Oriente,30580-180
Con139,MANACAS,30840-500
Con140,Grajau,30431-163
Con141,Funcionarios,30140-910
